-1,Almind Sparekasse
-1,Århus Andelskasse
-1,ArosMaizels Investment Bank A/S
-1,Astrup-Tulstrup-Hvilsted Sparekasse
-1,BG Bank A/S
-1,Den Jyske Sparekasse A/S
-1,Dragstrup-Skallerup Sparekasse
-1,Hassing-Villerslev Sparekasse
-1,Helligsø-Gettrup Sparekasse
-1,Holstebro Andelskasse J.A.K
-1,Hover Sparekasse
-1,Hvilsager-Lime Sparekasse
-1,J.A.K. Østfyns Andelskasse
-1,"JAK-Andelskassen, Hjørring"
-1,Jelstrup-Lyngby Sparekasse
-1,Lunar Bank A/S
-1,"Midtbank, Aktieselskab"
-1,Morsø Andelskasse JAK
-1,Nees Sparekasse
-1,Nordea Investment Management Bank A/S
-1,Nordea Securities Bank Danmark A/S
-1,Nykredit Portefølje Bank A/S
-1,Øster og Vester Alling Sparekasse
-1,"Ravsted, Sparekassen"
-1,Saxo Privatbank A/S
-1,Saxo Treasury Bank A/S
-1,Sdr. Lem Andelskasse
-1,SkandiaBanken A/S
-1,Spare- og Laanekassen i Vium Sogn
-1,Sparebank Østjylland
-1,Sparekassen Fyn A/S
-1,Sparekassen Limfjorden
-1,"Tarm Bank, Aktieselskabet"
-1,Thiset og Omegns Spare- Og Lånekasse
-1,Tødsø-Erslev Sparekasse
400,Lån & Spar Bank A/S
522,Sparekassen Sjælland-Fyn A/S
537,Dragsholm Sparekasse
544,Refsnæs Sparekasse
547,"Arts Herred, Sparekassen for"
570,Bank Trelleborg A/S
577,Flakkebjerg og Omegns Sparekasse
579,Sparekassen Den lille Bikube
580,Hårslev Sparekasse
631,Kongsted Sparekasse
634,Snesere Sogns Spare- og Lånekasse
644,Fanefjord Sparekasse
681,"Lolland A/S, Sparekassen"
725,Fionia Bank A/S
755,Middelfart Sparekasse
800,Flemløse Sparekasse
844,Fynske Bank A/S
847,Rise Flemløse Sparekasse
1149,Saxo Bank A/S
1671,Basisbank A/S
1693,Canto Bank A/S
1693,PFA Bank A/S
2222,Nordea Bank Danmark A/S
3000,Danske Bank A/S
5125,Leasing Fyn Bank A/S
5140,Finansbanken A/S
5201,Amagerbanken
5301,Aktieselskabet Arbejdernes Landsbank
5426,"Alfred Berg SE, Copenhagen Branch"
5470,Forstædernes Bank A/S
5999,Danske Andelskassers Bank A/S
6060,DiBa Bank A/S
6070,Max Bank af 2011 A/S
6100,Skandinaviska Enskilda Banken A/S
6114,Galten Sparekasse
6140,Møns Bank A/S
6150,Skælskør Bank Aktieselskab
6160,Roskilde Bank A/S
6220,Vordingborg Bank A/S
6300,Lokalbanken i Nordsjælland a/s
6471,"Grønlandsbanken, Aktieselskab"
6482,BRFkredit Bank a/s
6520,Lollands Bank A/S
6620,Coop Bank A/S
6771,Lægernes Bank A/S
6850,Vestfyns Bank A/S
6860,"Nordfyns Bank, Aktieselskabet"
6880,Totalbanken A/S
7230,Østjydsk Bank A/S
7270,Aarhus Lokalbank Aktieselskab
7320,Djurslands Bank A/S
7380,"Morsø Bank, Aktieselskabet"
7440,A/S Nørresundby Bank
7470,Aars Bank A/S
7500,HVIDBJERG BANK A/S
7500,Hvidbjerg Bank. Aktieselskab
7570,PenSam Bank A/S
7650,"Ringkjøbing Bank, Aktieselskabet"
7670,Ringkjøbing Landbobank. Aktieselskab
7680,Bonusbanken A/S
7681,Alm. Brand Bank A/S
7730,Vestjysk Bank A/S
7780,Skjern Bank A/S
7790,"Vinderup Bank, A/S"
7858,Jyske Bank A/S
7890,Salling Bank A/S
7930,Kreditbanken A/S
7990,Tønder Bank A/S
8079,Sydbank A/S
8099,Egnsbank Fyn A/S
8099,Nordjyske Bank A/S
8115,Gudme Raaschou Bank A/S
8117,Nykredit Bank A/S
8222,Dexia Bank A/S
8229,Capinordic Bank A/S
8231,FIH Kapital Bank A/S
8269,Carnegie Bank A/S
9020,Sparekassen Hvetbo A/S
9022,Brovst Sparekasse
9024,Ø. Brønderslev Sparekasse
9025,Jerslev Sparekasse
9033,Løkken Sparebank A/S
9044,Dronninglund Sparekasse
9053,Hellevad-Ørum Sparekasse
9070,Sparekassen Vendsyssel
9070,Vendsyssel Bank A/S
9080,EBH Bank A/S
9090,Sparekassen Thy
9100,Fjordbank Mors A/S
9117,Sparekassen Nordmors
9121,Boddum-Ydby Sparekasse
9124,Sønderhå-Hørsted Sparekasse
9133,Frøslev-Mollerup Sparekasse
9135,Klim Sparekasse
9137,Ekspres Bank A/S
9139,Sparekassen Spar Mors
9140,Snedsted-Nørhå Sparekasse
9141,Hvidbjerg-Ørum Sparekasse
9143,Hunstrup-Østerild Sparekasse
9144,Bank DNB  A/S
9174,"Farsø, Sparekassen"
9189,Eik Bank Danmark A/S
9201,"Midtfjord, Sparekassen"
9212,Hals Sparekasse
9214,St. Brøndum Sparekasse
9217,Jutlander Bank A/S
9224,Ulsted Sparekasse
9228,Vokslev Sogns Spare- og Laanekasse
9260,Sparbank A/S
9261,Sparekassen i Skals
9283,Langå Sparekasse
9285,Fuur Sparekasse
9289,"Midt Vest, Sparekassen"
9291,Roslev Sparekasse
9292,"Sundsøre, Sparekassen"
9307,Spar Salling Sparekasse
9312,Sparekassen Balling
9313,Durup Sparekasse
9335,Sparekassen Kronjylland
9351,Sparekassen Hobro
9354,Rønde Sparekasse
9355,Mørke Sparekasse
9356,Agri-Egens Sparekasse
9357,Helgenæs Sparekasse
9358,Vistoft Sparekasse
9361,Tved Sparekasse
9363,Den lille Sparekasse
9369,Søby-Skader-Halling Sparekasse
9377,Sparekassen Midtdjurs
9380,Spar Nord Bank A/S
9388,Sparekassen Djursland
9501,Fruering-Vitved Sparekasse
9551,Jelling Sparekasse
9627,Ulfborg Sparekasse
9629,Stadil Sparekasse
9634,Borbjerg Sparekasse
9639,Fjaltring-Trans Sparekasse
9682,Sparekassen for Nr. Nebel og Omegn
9684,Fanø Sparekasse
9686,Den Jyske Sparekasse
9690,Vorbasse-Hejnsvig Sparekasse
9740,Frøs Sparekasse
9797,Broager Sparekasse
9824,"Løgumkloster, Sparekassen"
9827,Sparekassen Bredebro
9860,Folkesparekassen
10001,FIH Erhvervsbank A/S
12000,Sammenslutningen Danske Andelskasser
13000,Lunde-Kvong Andelskasse
13020,Ryslinge Andelskasse
13070,Faster Andelskasse
13080,Frørup Andelskasse
13100,Københavns Andelskasse
13220,Andelskassen OIKOS
13230,"Brenderup, J.A.K. Andelskassen"
13240,"Ebeltoft, Andelskassen J.A.K"
13290,Andelskassen Fælleskassen
13330,"Slagelse, Andelskassen J.A.K."
13350,Østervrå Andelskasse
13350,Østvendsyssel J.A.K. Andelskassen
13370,J.A.K. Andelskassen Varde
13420,Thisted Andelskasse
13430,"Rødding, J.A.K. Andelskasse"
13450,Funder Fælleskasse Andelskasse
13460,Merkur Andelskasse
28001,Maj Bank A/S
28003,Facit Bank A/S
