A/S Nørresundby Bank,76.07,78.30,77.30,74.30,84.80,89.80,103.50,110.30,112.50,89.40,94.60,88.30,76.80,82.70,77.30,,,,,
Aarhus Lokalbank Aktieselskab,115.24,104.60,83.40,90.10,103.10,124.40,181.00,199.20,189.60,176.60,113.30,140.40,,,,,,,,
Aars Bank A/S,106.30,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,81.50,96.20,76.80,74.00,56.90,49.30,48.40,63.30,69.40,57.70,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,80.20,75.60,71.10,75.50,74.90,78.90,89.90,92.20,92.80,81.70,84.10,77.60,77.90,68.60,66.10,65.10,64.95,61.24,51.47,48.73
"Alfred Berg SE, Copenhagen Branch",19.70,14.50,9.90,7.30,8.50,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,68.20,83.80,32.80,95.80,99.10,128.20,149.50,157.00,156.20,151.50,164.30,151.60,94.40,87.30,60.40,78.50,79.10,79.90,63.20,59.90
Almind Sparekasse,63.50,63.20,63.20,60.70,62.80,56.10,,,,,,,,,,,,,,
Amagerbanken,122.50,106.30,99.50,99.40,103.80,126.90,140.30,165.40,187.30,199.60,280.40,,,,,,,,,
Andelskassen Fælleskassen,104.30,93.70,83.70,75.50,71.60,64.80,81.50,101.10,88.90,89.20,88.60,85.30,76.20,76.70,70.60,63.90,62.20,56.96,57.66,58.67
Andelskassen OIKOS,43.70,53.00,51.70,52.00,52.60,56.00,56.70,69.24,72.50,58.90,51.40,59.08,58.20,62.72,76.80,84.70,75.10,67.80,65.25,
Århus Andelskasse,93.10,85.80,69.80,80.00,77.10,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,0.00,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",57.99,57.40,49.30,41.30,41.60,29.40,35.10,52.30,52.50,50.90,41.80,44.30,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,28.20,32.90,39.00,24.50,17.10,15.50,8.90,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,"54,982.00","3,773.00","10,189.00","2,526.00","1,915.00",487.00,,,,,,,,
Bank Trelleborg A/S,101.20,102.10,106.00,106.60,111.40,117.40,135.90,166.50,,,,,,,,,,,,
Basisbank A/S,92.20,88.90,64.50,65.40,68.30,72.90,91.70,105.80,100.70,83.10,76.70,84.00,87.30,88.80,84.10,91.90,96.20,99.30,102.04,107.20
BG Bank A/S,92.70,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,72.70,81.50,83.10,88.20,91.10,80.70,77.10,81.60,100.20,92.40,73.50,88.60,,,,,,,,
Bonusbanken A/S,28.52,33.00,38.50,42.50,56.90,94.90,106.80,111.10,,,,,,,,,,,,
Borbjerg Sparekasse,102.00,87.30,87.10,81.10,98.10,77.30,96.67,103.00,82.60,81.00,76.40,72.10,72.40,77.70,78.10,75.80,77.00,82.70,82.83,74.09
"Brenderup, J.A.K. Andelskassen",111.87,81.40,81.60,99.90,76.30,64.30,63.00,97.20,109.30,,,,,,,,,,,
BRFkredit Bank a/s,132.70,165.90,205.70,180.40,187.90,152.30,245.20,241.00,187.20,145.60,99.00,81.10,80.40,75.60,74.70,,,,,
Broager Sparekasse,78.40,80.10,78.30,79.90,75.00,82.20,93.50,102.90,118.10,93.80,94.00,95.30,81.30,82.50,74.80,69.60,63.10,58.80,57.43,49.22
Brovst Sparekasse,82.60,89.80,82.70,71.40,61.40,57.30,,,,,,,,,,,,,,
Canto Bank A/S,,,,,,,,,,,,,,,,,,,,
Capinordic Bank A/S,,,,,,0.00,231.60,174.09,86.20,,,,,,,,,,,
Carnegie Bank A/S,21.10,82.20,18.10,21.70,80.70,61.10,49.30,47.60,54.30,55.60,31.80,30.02,31.20,,,,,,,
Coop Bank A/S,,,,,,,,,,,,,,95.70,25.70,40.60,57.12,71.76,61.71,66.38
Danske Andelskassers Bank A/S,72.90,58.40,52.20,54.40,48.20,35.80,45.90,279.20,486.60,369.80,395.70,111.40,93.70,92.10,81.80,80.40,80.80,82.00,80.20,75.66
Danske Bank A/S,117.40,112.80,104.90,99.50,105.60,114.70,136.80,138.20,147.90,126.20,130.90,130.60,122.30,113.70,110.30,125.60,117.80,97.10,106.80,106.70
Den Jyske Sparekasse,94.20,94.00,94.50,94.90,101.10,120.20,122.60,122.20,128.60,122.40,110.50,110.10,94.90,100.90,92.30,88.08,83.56,74.75,,
Den Jyske Sparekasse A/S,,,,,,,,,,,,,,,,,,,68.90,65.56
Den lille Sparekasse,115.80,105.10,106.40,87.40,82.70,86.50,108.00,107.90,108.30,,,,,,,,,,,
Dexia Bank A/S,18.00,64.90,359.10,285.10,302.80,"1,186.60",735.60,207.00,538.67,319.20,300.00,606.12,435.24,,,,,,,
DiBa Bank A/S,111.10,110.00,95.60,89.90,103.40,113.80,133.40,141.80,127.00,106.30,110.60,96.70,86.70,73.00,,,,,,
Djurslands Bank A/S,99.79,100.70,103.60,96.50,95.90,91.40,98.10,103.00,104.10,94.40,89.00,93.70,84.20,80.00,77.50,70.80,63.10,62.10,56.70,50.40
Dragsholm Sparekasse,37.00,36.30,33.20,25.50,24.10,30.60,37.00,44.40,53.10,39.00,34.50,32.20,33.70,32.60,29.30,31.40,36.20,36.30,36.66,34.80
Dragstrup-Skallerup Sparekasse,42.50,39.10,29.70,26.20,29.00,,,,,,,,,,,,,,,
Dronninglund Sparekasse,85.70,93.30,101.80,103.60,103.30,101.40,117.60,123.20,122.80,117.20,99.50,96.70,94.40,101.40,93.60,94.60,92.20,91.70,78.91,
Durup Sparekasse,85.70,76.10,61.50,69.20,66.10,64.30,,,,,,,,,,,,,,
"Ebeltoft, Andelskassen J.A.K",102.70,105.50,129.40,126.60,109.80,93.60,78.70,107.40,118.80,93.30,87.93,89.40,87.50,,,,,,,
EBH Bank A/S,107.30,105.10,98.50,107.60,112.10,139.40,155.40,183.50,,,,,,,,,,,,
Egnsbank Fyn A/S,71.85,76.40,,,,,,,,,,,,,,,,,,
Eik Bank Danmark A/S,,114.10,191.80,316.40,374.40,616.90,653.50,108.30,98.90,97.10,152.10,,,,,,,,,
Ekspres Bank A/S,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,263.99
Facit Bank A/S,,,,,,,,,,,,,,,,,,,,6.32
Fanefjord Sparekasse,66.40,66.80,62.50,55.60,54.40,51.80,59.00,62.60,75.80,67.10,58.40,58.00,,,,,,,,
Fanø Sparekasse,65.10,67.80,76.20,69.70,64.60,54.40,67.80,65.80,75.00,67.80,69.10,72.50,65.80,61.30,53.60,42.60,38.60,38.10,32.72,33.59
"Farsø, Sparekassen",108.00,112.90,105.70,112.60,104.80,100.80,125.80,122.10,121.50,111.30,118.00,108.60,,,,,,,,
Faster Andelskasse,70.30,69.60,61.40,56.50,55.10,55.90,57.30,58.20,83.80,77.90,56.80,59.20,60.20,59.40,61.70,63.90,58.58,59.39,53.14,54.15
FIH Erhvervsbank A/S,,,"13,878.70","7,632.70","3,526.40","1,483.90",920.05,532.75,278.90,246.20,572.00,536.68,91.02,86.44,81.52,"2,019.39",,,,
FIH Kapital Bank A/S,,,,,,,,0.00,117.70,0.00,0.00,0.00,0.00,,,,,,,
Finansbanken A/S,44.70,79.30,102.10,126.20,114.50,173.20,185.20,201.30,136.20,113.40,,,,,,,,,,
Fionia Bank A/S,127.90,123.80,119.90,121.90,125.80,125.90,134.50,151.30,161.50,,,,,,,,,,,
Fjaltring-Trans Sparekasse,71.20,61.00,55.90,44.00,31.50,32.70,30.56,32.13,43.19,38.48,35.95,32.14,34.63,30.10,25.80,36.00,38.10,,,
Fjordbank Mors A/S,75.70,75.30,89.90,86.30,100.70,112.00,120.70,129.90,131.20,124.40,129.10,,,,,,,,,
Flakkebjerg og Omegns Sparekasse,37.50,35.96,43.10,44.10,38.20,22.70,,,,,,,,,,,,,,
Flemløse Sparekasse,83.40,73.50,84.90,79.40,88.10,94.00,100.50,96.30,101.60,99.70,87.50,88.90,79.00,73.80,72.40,59.90,54.00,,,
Folkesparekassen,117.80,114.40,107.20,91.80,83.00,70.30,86.30,102.90,104.00,96.40,80.80,73.50,69.50,72.50,65.80,60.70,56.20,52.20,48.62,44.47
Forstædernes Bank A/S,115.40,113.90,111.30,120.80,129.20,143.30,143.50,151.70,163.10,,,,,,,,,,,
Frørup Andelskasse,78.80,69.10,69.30,60.90,54.50,58.80,61.10,65.70,70.60,68.80,58.70,58.90,53.50,49.10,44.90,41.80,38.79,38.09,36.13,41.71
Frøs Sparekasse,79.40,70.70,67.90,72.00,72.20,68.80,73.30,78.40,71.40,68.10,62.80,66.50,61.90,59.20,56.20,54.50,48.50,46.40,47.67,45.66
Frøslev-Mollerup Sparekasse,79.90,77.50,78.90,82.90,83.80,71.80,74.60,81.70,76.70,66.80,59.30,57.10,58.40,60.70,62.40,58.80,60.30,58.14,57.67,52.32
Fruering-Vitved Sparekasse,32.90,33.00,32.10,28.30,27.50,23.20,24.10,32.30,47.90,54.60,53.00,,,,,,,,,
Funder Fælleskasse Andelskasse,163.70,163.50,162.50,170.40,166.10,164.70,171.20,185.20,202.80,195.00,159.70,165.60,195.50,171.90,,,,,,
Fuur Sparekasse,66.70,65.60,65.30,64.50,62.00,69.10,,,,,,,,,,,,,,
Fynske Bank A/S,94.40,85.80,86.40,76.60,93.50,93.70,92.00,94.10,90.40,88.70,80.80,83.10,75.10,71.70,63.10,66.00,61.40,60.50,58.20,52.60
Galten Sparekasse,100.70,88.00,79.60,83.50,83.00,70.40,72.40,,,,,,,,,,,,,
"Grønlandsbanken, Aktieselskab",52.30,51.80,44.00,56.60,59.70,63.90,70.80,68.10,83.40,87.30,87.20,83.30,82.30,73.60,77.50,61.70,66.20,82.20,73.10,67.20
Gudme Raaschou Bank A/S,0.00,0.00,0.00,0.00,0.00,"678,720.40","3,536.40","3,285.10","2,700.20",,,,,,,,,,,
Hals Sparekasse,68.90,59.70,55.90,53.20,48.70,48.80,54.00,57.90,62.20,49.10,43.70,48.10,46.00,42.20,40.70,,,,,
Hårslev Sparekasse,58.30,56.70,57.60,70.80,67.70,88.00,96.10,74.10,,,,,,,,,,,,
Hassing-Villerslev Sparekasse,41.10,46.40,,,,,,,,,,,,,,,,,,
Helgenæs Sparekasse,44.30,42.80,50.20,44.80,48.30,33.00,37.50,58.40,77.70,50.92,40.60,49.70,,,,,,,,
Hellevad-Ørum Sparekasse,70.90,72.80,73.50,66.00,63.00,,,,,,,,,,,,,,,
Helligsø-Gettrup Sparekasse,84.00,90.00,83.00,75.40,75.70,,,,,,,,,,,,,,,
Holstebro Andelskasse J.A.K,85.80,85.70,74.80,61.10,64.21,,,,,,,,,,,,,,,
Hover Sparekasse,21.80,20.60,18.50,19.42,12.39,16.80,22.92,,,,,,,,,,,,,
Hunstrup-Østerild Sparekasse,78.90,75.70,67.60,83.60,81.00,79.30,84.70,92.00,83.40,89.90,78.90,77.10,,,,,,,,
HVIDBJERG BANK A/S,,,,,,,,,,,,,,,,,,,,77.49
Hvidbjerg Bank. Aktieselskab,98.80,98.00,99.10,84.90,88.90,91.30,99.90,114.90,114.20,105.40,93.40,99.90,99.20,111.10,88.00,85.00,81.75,82.71,81.31,
Hvidbjerg-Ørum Sparekasse,55.40,53.80,67.90,67.50,70.70,,,,,,,,,,,,,,,
Hvilsager-Lime Sparekasse,18.32,17.10,19.40,16.00,10.60,,,,,,,,,,,,,,,
J.A.K. Andelskassen Varde,98.00,96.61,94.47,82.48,98.47,79.66,95.40,112.13,110.25,94.58,84.53,76.93,,,,,,,,
J.A.K. Østfyns Andelskasse,50.11,51.30,32.70,42.40,47.40,62.00,44.90,,,,,,,,,,,,,
"JAK-Andelskassen, Hjørring",126.00,122.50,,,,,,,,,,,,,,,,,,
Jelling Sparekasse,59.60,68.10,68.10,64.50,66.20,72.20,92.00,,,,,,,,,,,,,
Jelstrup-Lyngby Sparekasse,92.80,,,,,,,,,,,,,,,,,,,
Jerslev Sparekasse,85.30,84.10,86.80,81.80,78.20,76.60,,,,,,,,,,,,,,
Jutlander Bank A/S,102.50,99.60,99.40,96.60,104.30,112.00,121.30,107.70,109.50,94.40,91.00,97.20,86.50,83.70,79.40,75.70,70.60,70.10,70.62,63.90
Jyske Bank A/S,84.80,86.80,86.70,82.40,90.40,96.20,103.70,107.40,102.90,94.00,90.70,92.40,102.70,104.10,102.30,109.80,101.40,94.90,97.90,109.10
Klim Sparekasse,82.20,80.60,82.00,85.80,88.90,82.10,94.70,88.90,86.80,78.30,66.10,60.30,60.40,64.60,55.00,50.00,49.40,54.50,56.73,51.12
Københavns Andelskasse,98.80,90.90,79.10,76.20,73.00,82.20,70.10,94.10,95.80,76.30,84.90,77.30,82.40,88.20,86.80,76.50,77.90,62.80,,
Kongsted Sparekasse,77.70,73.40,58.30,56.30,52.00,46.40,52.60,67.10,72.70,57.70,51.90,59.10,61.51,,,,,,,
Kreditbanken A/S,82.32,89.50,84.90,86.40,82.20,106.00,108.10,116.10,103.60,101.60,104.70,100.70,91.20,89.10,88.30,84.60,83.20,80.10,72.90,63.90
Lægernes Bank A/S,30.60,43.20,58.70,62.30,54.20,51.60,52.70,56.50,65.00,64.60,64.30,74.40,65.00,64.70,64.50,56.90,50.98,47.22,43.19,37.08
Lån & Spar Bank A/S,52.20,50.00,54.90,53.30,52.70,53.80,63.70,91.60,90.00,79.80,83.20,89.10,82.50,75.80,73.50,78.70,77.10,74.30,70.10,62.20
Langå Sparekasse,74.40,68.80,66.30,62.30,65.60,57.30,57.10,63.50,64.20,61.40,50.90,55.70,50.70,44.50,43.50,40.00,38.00,43.90,42.33,43.33
Leasing Fyn Bank A/S,"2,009.60","1,988.50","2,000.90","2,066.10","1,603.30","1,619.20","1,644.00","1,775.30","1,137.60","2,040.49",287.30,219.50,253.06,266.52,"1,297.80",466.79,418.10,347.40,461.10,344.10
"Løgumkloster, Sparekassen",77.30,75.60,81.70,81.10,72.90,80.10,93.90,98.70,99.90,,,,,,,,,,,
